dist_code,dist_name,town_count,towns,type_guess
03460000,Winthrop,1,Winthrop,single-town
03470000,Woburn,1,Woburn,single-town
03480000,Worcester,1,Worcester,single-town
03490000,Worthington,1,Worthington,single-town
03500000,Wrentham,1,Wrentham,single-town
04060000,Northampton-Smith Vocational Agricultural,1,Northampton,single-town
04680000,Ma Academy for Math and Science,34,Acton;Andover;Auburn;Berlin;Boylston;Canton;Charlton;Dudley;Framingham;Franklin;Grafton;Harvard;Holden;Hopkinton;Hudson;Leominster;Lexington;Mendon;Milford;Needham;North Attleborough;Northborough;Oxford;Princeton;Shrewsbury;Southborough;Sutton;Upton;Uxbridge;West Boylston;Westborough;Westford;Worcester;Wrentham,regional/voc-tech
06000000,Acton-Boxborough,2,Acton;Boxborough,regional/voc-tech
06030000,Hoosac Valley Regional,2,Adams;Cheshire,regional/voc-tech
06050000,Amherst-Pelham,4,Amherst;Leverett;Pelham;Shutesbury,regional/voc-tech
06100000,Ashburnham-Westminster,2,Ashburnham;Westminster,regional/voc-tech
06150000,Athol-Royalston,2,Athol;Royalston,regional/voc-tech
06160000,Ayer Shirley School District,2,Ayer;Shirley,regional/voc-tech
06180000,Berkshire Hills,3,Great Barrington;Stockbridge;West Stockbridge,regional/voc-tech
06200000,Berlin-Boylston,2,Berlin;Boylston,regional/voc-tech
06220000,Blackstone-Millville,2,Blackstone;Millville,regional/voc-tech
06250000,Bridgewater-Raynham,2,Bridgewater;Raynham,regional/voc-tech
06320000,Chesterfield-Goshen,2,Chesterfield;Goshen,regional/voc-tech
06350000,Central Berkshire,7,Becket;Cummington;Dalton;Hinsdale;Peru;Washington;Windsor,regional/voc-tech
06400000,Concord-Carlisle,2,Carlisle;Concord,regional/voc-tech
06450000,Dennis-Yarmouth,2,Dennis;Yarmouth,regional/voc-tech
06500000,Dighton-Rehoboth,2,Dighton;Rehoboth,regional/voc-tech
06550000,Dover-Sherborn,2,Dover;Sherborn,regional/voc-tech
06580000,Dudley-Charlton Reg,2,Charlton;Dudley,regional/voc-tech
06600000,Nauset,4,Brewster;Eastham;Orleans;Wellfleet,regional/voc-tech
06620000,Farmington River Reg,2,Otis;Sandisfield,regional/voc-tech
06650000,Freetown-Lakeville,2,Freetown;Lakeville,regional/voc-tech
06700000,Frontier,4,Conway;Deerfield;Sunderland;Whately,regional/voc-tech
06720000,Gateway,6,Blandford;Chester;Huntington;Middlefield;Montgomery;Russell,regional/voc-tech
06730000,Groton-Dunstable,2,Dunstable;Groton,regional/voc-tech
06740000,Gill-Montague,2,Gill;Montague,regional/voc-tech
06750000,Hamilton-Wenham,2,Hamilton;Wenham,regional/voc-tech
06800000,Hampden-Wilbraham,2,Hampden;Wilbraham,regional/voc-tech
06830000,Hampshire,5,Chesterfield;Goshen;Southampton;Westhampton;Williamsburg,regional/voc-tech
06850000,Hawlemont,2,Charlemont;Hawley,regional/voc-tech
06900000,King Philip,3,Norfolk;Plainville;Wrentham,regional/voc-tech
06950000,Lincoln-Sudbury,2,Lincoln;Sudbury,regional/voc-tech
06980000,Manchester Essex Regional,2,Essex;Manchester,regional/voc-tech
07000000,Martha's Vineyard,6,Aquinnah;Chilmark;Edgartown;Oak Bluffs;Tisbury;West Tisbury,regional/voc-tech
07050000,Masconomet,3,Boxford;Middleton;Topsfield,regional/voc-tech
07100000,Mendon-Upton,2,Mendon;Upton,regional/voc-tech
07120000,Monomoy Regional School District,2,Chatham;Harwich,regional/voc-tech
07150000,Mount Greylock,2,Lanesborough;Williamstown,regional/voc-tech
07170000,Mohawk Trail,8,Ashfield;Buckland;Charlemont;Colrain;Hawley;Heath;Plainfield;Shelburne,regional/voc-tech
07200000,Narragansett,2,Phillipston;Templeton,regional/voc-tech
07250000,Nashoba,3,Bolton;Lancaster;Stow,regional/voc-tech
07280000,New Salem-Wendell,2,New Salem;Wendell,regional/voc-tech
07300000,Northboro-Southboro,2,Northborough;Southborough,regional/voc-tech
07350000,North Middlesex,3,Ashby;Pepperell;Townsend,regional/voc-tech
07400000,Old Rochester,3,Marion;Mattapoisett;Rochester,regional/voc-tech
07450000,Pentucket,3,Groveland;Merrimac;West Newbury,regional/voc-tech
07500000,Pioneer Valley,3,Bernardston;Leyden;Northfield,regional/voc-tech
07530000,Quabbin,5,Barre;Hardwick;Hubbardston;New Braintree;Oakham,regional/voc-tech
07550000,Ralph C Mahar,4,New Salem;Orange;Petersham;Wendell,regional/voc-tech
07600000,Silver Lake,3,Halifax;Kingston;Plympton,regional/voc-tech
07630000,Somerset Berkley Regional School District,2,Berkley;Somerset,regional/voc-tech
07650000,Southern Berkshire,5,Alford;Egremont;Monterey;New Marlborough;Sheffield,regional/voc-tech
07660000,Southwick-Tolland-Granville Regional School District,3,Granville;Southwick;Tolland,regional/voc-tech
07670000,Spencer-E Brookfield,2,East Brookfield;Spencer,regional/voc-tech
07700000,Tantasqua,5,Brimfield;Brookfield;Holland;Sturbridge;Wales,regional/voc-tech
07730000,Triton,3,Newbury;Rowley;Salisbury,regional/voc-tech
07740000,Up-Island Regional,3,Aquinnah;Chilmark;West Tisbury,regional/voc-tech
07750000,Wachusett,5,Holden;Paxton;Princeton;Rutland;Sterling,regional/voc-tech
07780000,Quaboag Regional,2,Warren;West Brookfield,regional/voc-tech
07800000,Whitman-Hanson,2,Hanson;Whitman,regional/voc-tech
08010000,Assabet Valley Regional Vocational Technical,7,Berlin;Hudson;Marlborough;Maynard;Northborough;Southborough;Westborough,regional/voc-tech
08050000,Blackstone Valley Regional Vocational Technical,13,Bellingham;Blackstone;Douglas;Grafton;Hopedale;Mendon;Milford;Millbury;Millville;Northbridge;Sutton;Upton;Uxbridge,regional/voc-tech
08060000,Blue Hills Regional Vocational Technical,9,Avon;Braintree;Canton;Dedham;Holbrook;Milton;Norwood;Randolph;Westwood,regional/voc-tech
08100000,Bristol-Plymouth Regional Vocational Technical,8,Berkley;Bridgewater;Dighton;Freetown;Middleborough;Raynham;Rehoboth;Taunton,regional/voc-tech
08150000,Cape Cod Regional Vocational Technical,12,Barnstable;Brewster;Chatham;Dennis;Eastham;Harwich;Mashpee;Orleans;Provincetown;Truro;Wellfleet;Yarmouth,regional/voc-tech
08170000,Essex North Shore Agricultural and Technical School District,17,Beverly;Boxford;Danvers;Essex;Gloucester;Hamilton;Lynnfield;Manchester;Marblehead;Middleton;Nahant;Peabody;Rockport;Salem;Swampscott;Topsfield;Wenham,regional/voc-tech
08180000,Franklin County Regional Vocational Technical,19,Bernardston;Buckland;Colrain;Conway;Deerfield;Erving;Gill;Greenfield;Heath;Leyden;Montague;New Salem;Northfield;Orange;Shelburne;Sunderland;Warwick;Wendell;Whately,regional/voc-tech
08210000,Greater Fall River Regional Vocational Technical,4,Fall River;Somerset;Swansea;Westport,regional/voc-tech
